Subject_ID,Group,Label,Prediction,Relative_Power,Channel,Band
ACSub1,Control,0,0,0.47105358624686416,AF3,Delta
ACSub1,Control,0,0,0.5386106063078308,AF3,Delta
ACSub1,Control,0,0,0.5596611544086916,AF3,Delta
ACSub1,Control,0,0,0.6351319757052069,AF3,Delta
ACSub1,Control,0,0,0.6072817544533823,AF3,Delta
ACSub1,Control,0,0,0.4196922331601639,AF3,Delta
ACSub1,Control,0,0,0.32729503301262725,AF3,Delta
ACSub1,Control,0,0,0.34287999541949954,AF3,Delta
ACSub1,Control,0,0,0.6094886180817256,AF3,Delta
ACSub1,Control,0,0,0.6023334587178375,AF3,Delta
ACSub1,Control,0,0,0.6100046450177221,AF3,Delta
ACSub10,Control,0,0,0.3211314287117106,AF3,Delta
ACSub10,Control,0,0,0.3764517150222954,AF3,Delta
ACSub10,Control,0,0,0.46227859984138564,AF3,Delta
ACSub10,Control,0,0,0.35159406075823574,AF3,Delta
ACSub10,Control,0,0,0.30393879943567803,AF3,Delta
ACSub10,Control,0,0,0.3525260646363232,AF3,Delta
ACSub10,Control,0,0,0.48381278958308443,AF3,Delta
ACSub10,Control,0,0,0.40243999222235255,AF3,Delta
ACSub10,Control,0,0,0.3667709022754116,AF3,Delta
ACSub10,Control,0,0,0.3311792508611572,AF3,Delta
ACSub10,Control,0,0,0.330067565596322,AF3,Delta
ACSub10,Control,0,0,0.3803322909046356,AF3,Delta
ACSub10,Control,0,0,0.34212252478988797,AF3,Delta
ACSub10,Control,0,0,0.31091995901191855,AF3,Delta
ACSub10,Control,0,0,0.22192330495110274,AF3,Delta
ACSub10,Control,0,0,0.20992925300834045,AF3,Delta
ACSub10,Control,0,0,0.31583616848533563,AF3,Delta
ACSub10,Control,0,0,0.37804633438556307,AF3,Delta
ACSub10,Control,0,0,0.40559903085483867,AF3,Delta
ACSub10,Control,0,0,0.26019904478590555,AF3,Delta
ACSub10,Control,0,0,0.32354548025847574,AF3,Delta
ACSub10,Control,0,0,0.35411418986667137,AF3,Delta
ACSub10,Control,0,0,0.3365734888072925,AF3,Delta
ACSub10,Control,0,0,0.3255516433638173,AF3,Delta
ACSub10,Control,0,0,0.2425311770427439,AF3,Delta
ACSub10,Control,0,0,0.3325400566534762,AF3,Delta
ACSub10,Control,0,0,0.2747320485189272,AF3,Delta
ACSub10,Control,0,0,0.2898405048791398,AF3,Delta
ACSub10,Control,0,0,0.38754399828547387,AF3,Delta
ACSub10,Control,0,0,0.41401951900700334,AF3,Delta
ACSub10,Control,0,0,0.16282708595316736,AF3,Delta
ACSub10,Control,0,0,0.22969949171246826,AF3,Delta
ACSub10,Control,0,0,0.17028039501829179,AF3,Delta
ACSub10,Control,0,0,0.45198617657345563,AF3,Delta
ACSub10,Control,0,0,0.3608852129617449,AF3,Delta
ACSub10,Control,0,0,0.25605594678425214,AF3,Delta
ACSub10,Control,0,0,0.3493048148077418,AF3,Delta
ACSub10,Control,0,0,0.37293358699370366,AF3,Delta
ACSub10,Control,0,0,0.3484490714005357,AF3,Delta
ACSub10,Control,0,0,0.38824502516346837,AF3,Delta
ACSub10,Control,0,0,0.43127683289935675,AF3,Delta
ACSub10,Control,0,0,0.29828134250646976,AF3,Delta
ACSub10,Control,0,0,0.19534317482394356,AF3,Delta
ACSub10,Control,0,0,0.23547402909582918,AF3,Delta
ACSub10,Control,0,0,0.40669710183428753,AF3,Delta
ACSub10,Control,0,0,0.3366043444107709,AF3,Delta
ACSub10,Control,0,0,0.3104019971373164,AF3,Delta
ACSub10,Control,0,0,0.4517409696640964,AF3,Delta
ACSub10,Control,0,0,0.3374271713000838,AF3,Delta
ACSub10,Control,0,0,0.35233477344190417,AF3,Delta
ACSub10,Control,0,0,0.3730082753697443,AF3,Delta
ACSub10,Control,0,0,0.3112095968536227,AF3,Delta
ACSub10,Control,0,0,0.28318031889453754,AF3,Delta
ACSub10,Control,0,0,0.29522398347216666,AF3,Delta
ACSub10,Control,0,0,0.2261446021899299,AF3,Delta
ACSub10,Control,0,0,0.350151354925161,AF3,Delta
ACSub10,Control,0,0,0.37209813202476305,AF3,Delta
ACSub10,Control,0,0,0.36397001229708287,AF3,Delta
ACSub10,Control,0,0,0.36631321440936787,AF3,Delta
ACSub10,Control,0,0,0.33054998637893457,AF3,Delta
ACSub10,Control,0,0,0.3555349263682646,AF3,Delta
ACSub10,Control,0,0,0.5141445644593317,AF3,Delta
ACSub10,Control,0,0,0.5289992634729392,AF3,Delta
ACSub10,Control,0,0,0.5803133636100146,AF3,Delta
ACSub10,Control,0,0,0.5051330232856711,AF3,Delta
ACSub10,Control,0,0,0.7038461210189975,AF3,Delta
ACSub10,Control,0,0,0.6286844532903789,AF3,Delta
ACSub10,Control,0,0,0.32818431477682464,AF3,Delta
ACSub10,Control,0,0,0.22467209342498712,AF3,Delta
ACSub10,Control,0,0,0.2683353326457231,AF3,Delta
ACSub10,Control,0,0,0.35873543950785114,AF3,Delta
ACSub10,Control,0,0,0.5062236821626371,AF3,Delta
ACSub10,Control,0,0,0.3550032084477081,AF3,Delta
ACSub10,Control,0,0,0.39159496713330355,AF3,Delta
ACSub10,Control,0,0,0.4575231855237738,AF3,Delta
ACSub10,Control,0,0,0.6119938277321875,AF3,Delta
ACSub10,Control,0,0,0.6246462506237113,AF3,Delta
ACSub10,Control,0,0,0.55667891194765,AF3,Delta
ACSub10,Control,0,0,0.301709039174018,AF3,Delta
ACSub10,Control,0,0,0.1624159862542802,AF3,Delta
ACSub10,Control,0,0,0.3285532560914812,AF3,Delta
ACSub10,Control,0,0,0.2986930408027891,AF3,Delta
ACSub10,Control,0,0,0.2519640727347836,AF3,Delta
ACSub10,Control,0,0,0.2776278976475043,AF3,Delta
